,_id,timestamp,device_id,double_frequency,double_decibels,double_rms,is_silent,silence_threshold
141,142,1411638335738.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,97.0,13.711349770324492,1443.408746646574,1,2155.0
142,143,1411638346193.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,225.0,8.493260140209006,2504.971919284975,0,2152.0
143,144,1411638356643.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,170.0,15.173234723832,961.3456287770543,1,2159.0
144,145,1411638367133.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,152.0,13.625673020341956,1340.685237574428,1,2152.0
145,146,1411638377605.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,208.0,14.532908838301392,1347.0079969461226,1,2149.0
146,147,1411638388386.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,107.0,12.97734515792338,1542.6779806545915,1,2146.0
147,148,1411638399121.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,281.0,1.466304599356152,3190.252685114217,0,2144.0
148,149,1411638409783.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,131.0,1.7000796770174031,2527.178655456955,0,2157.0
149,150,1411638420509.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,208.0,6.2985548631521,2773.8882955233917,0,2164.0
150,151,1411638430956.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,128.0,8.852241205932621,1997.5030224389593,1,2172.0
151,152,1411638441518.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,250.0,8.260324585567632,1969.1476184674352,1,2174.0
152,153,1411638451977.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,86.0,12.79041900073582,1482.1665160039186,1,2176.0
153,154,1411638462357.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,159.0,4.166354886078753,3222.07287556495,0,2174.0
154,155,1411638472932.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,93.0,0.8837513822786613,4862.89907714131,0,2186.0
155,156,1411638483344.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,65.0,0.4195061180992996,4184.198462482092,0,2211.0
156,157,1411638493805.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,222.0,9.259737149527785,2017.711256236052,1,2231.0
